word,eraab,meaning
ابا,اَبا,(اَ یا اِ) [ په. ] (اِ.) = وا: آش. به حذف همزه نیز خوانده می‌شود مانند: جوجه با، شوربا.
ابا,اِبا,"(اِ) [ ع. ]
۱- (مص ل.) سرباز زدن، سر  - پیچیدن.
۲- خودداری کردن.
۳-  (اِمص.) سرکشی، نافرمانی.
۴- نخوت، تکبر."
ابدال,اَبدال,"(اَ) [ ع. ] (ص. اِ.)جِ بدل یا بدیل.
۱-  نیکان، صالحان، که جهان به برکت وجود ایشان برپاست.
۲- نجیبان، شریفان."
ابدال,اِبدال,"( اِ ) [ ع. ] (مص ل.)
۱- عوض و بدل کردن.
۲- قرار دادن حرفی به جای حرفی دیگر برای دفع ثقل و سنگینی.
۳- یکی از اقسام نه گانه وقف مستعمل چون تبدیل تاء به هاء در رحمت و رحمه."
ابر,اَبر,"( اَ ) (اِ.)
۱- توده عظیم بخار آب، میغ، سحاب.
۲- اسفنج دریایی یا مصنوعی که با آن مثل یک کیسه یا لیف بدن را شستشو دهند؛ ابر حمام."
ابر,اَبَر,(اَ بَ) [ په. ] (اِ.) بالا، مق  پایین.
احیاء,اَحیاء,"( اَ) [ ع. ] (ص.) جِ حی.
۱- زندگان.
۲-  قبیله‌ها، خاندان‌ها."
احیاء,اِحیاء,"( اِ) [ ع. ]
۱- (مص م.) زنده کردن.
۲- آباد کردن زمین.۳ - (مص ل.) شب را به عبادت گذرانیدن.
۴- شب زنده داری کردن.
۵- (اِمص.) زندگی."
احیا,اَحیا,"( اَ) [ ع. ] (ص.) جِ حی.
۱- زندگان.
۲-  قبیله‌ها، خاندان‌ها."
احیا,اِحیا,"( اِ) [ ع. ]
۱- (مص م.) زنده کردن.
۲- آباد کردن زمین.۳ - (مص ل.) شب را به عبادت گذرانیدن.
۴- شب زنده داری کردن.
۵- (اِمص.) زندگی."
اخوان,اَخَوان,(اَ خَ) [ ع. ] (اِ.) تثنیه اخ، دو برادر.
اخوان,اِخوان,(اِ) [ ع. ] (اِ.) جِ اَخ ؛ برادران، دوستان، برادرخواندگان.
ارگ,اَرگ,( اَ ) [ په. ] (اِ.)قلعه کوچک میان قلعه بزرگ.
ارگ,اُرگ,"( اُ ) [ فر. ] (اِ.)
۱- ارغنون.
۲- نوعی ساز شبیه به پیانو اما کوچکتر از آن."
اشتر,اَشتَر,(اَ تَ) [ ع. ] (ص.) کسی که پلک چشمش کفته باشد، دریده چشم.
اشتر,اُشتُر,(اُ تُ) (اِ.) نک  شتر.
